Folio,Topic Heading,Source (original),Text (original),Source (standardized),Text (standardized),Citation,STC number,Notes
1-4r,"Wisdome
",pro. 19. 18,"Hee that gets wisdom loues his                          owne Soule, and hee that keepes         vnderstanding shall find Good",Proverbs 19. 8,He that getteth wisdom loveth his own soul: he that keepeth understanding shall find good.,,,Verse misattributed in the Collet book
1-4v,Wisdome & Prudenc,Mathew. 10. 16,Be yoe wyse as Serpents & Inocent                       As Doues,Matthew 10.16,"Behold, I send you forth as sheep in the midst of wolves: be ye therefore wise as serpents, and harmless as doves.",,,Omitted first clause
1-4v,Wisdome & Prudenc,pro. 3. 35,"The wyse shall Inherit Glory, but                         fooles dishonour though they bee                    Exalted",Proverbs 3.35,The wise shall inherit glory: but shame shall be the promotion of fools.,,,
1-4v,Wisdome & Prudenc,Ecc. 11.1,Wisdom lifts by the head of him                             that is of lowe degree and maketh                         him to Set amongst great men,Ecclesiasticus 11.1,"Wisdom lifteth up the head of him that is of low degree, and maketh him to sit among great men.",,,
1-4v,Wisdome & Prudenc,pro. 24.5,By wisdom is a house bulded                                and by vnderstanding it is                          established,Proverbs 24.3,Through wisdom is an house builded; and by understanding it is established,,,Verse misattributed in the book
1-4v,Wisdome & Prudenc,Ecc. 24.1,Wisdom shall prayes her Selfe                              And shall Glory in ye multitud                                   of the people,Ecclesiasticus 24.1,"Wisdom shall praise herself, and shall glory in the midst of her people.",,,
1-5r,Wisdom & Prudenc,pro. 13. 20,"Hee that walketh with wyse men                          shall bee wyse, but a Companion                            of fooles shall bee Destroyed",Proverbs 13.20,He that walketh with wise men shall be wise: but a companion of fools shall be destroyed.,,,
1-5r,Wisdom & Prudenc,Job. 12. 12,Amongst the Antient is wisdom                                     and in the Lenght of Dayes is            vnderstanding,Job 12.12,With the ancient is wisdom; and in length of days understanding.,,,
1-5r,Wisdom & Prudenc,pro. 8. 12,I wisdom dwell with prudenc and                                                                                                               I find forth knowledg & Counsell,Proverbs 8.12,"I wisdom dwell with prudence, and find out knowledge of witty inventions.",,,
1-5r,Wisdom & Prudenc,pro. 9. 12,"If thou bee wyse thou shalt be wyse for                                                                                                 thy selfe, but of thou bee a Scorner                                                                                                     thou alone shalt beare it",Proverbs 9.12,"If thou be wise, thou shalt be wise for thyself: but if thou scornest, thou alone shalt beare it",,,
1-5r,Wisdom & Prudenc,James 3. 13,"Who is a wyse man and Indued with             knowledg, let him show by Good                 Conuersation his workes in Meeknes                       of wisdom",James 3.13,Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.,,,
1-5v,Wisdom Prudenc,pro. 22. 3,"A prudent man seeth the euill and hideth himselfe, but the Simple paseth on and is punished",Proverbs 22.3,"A prudent man foreseeth the evil, and hideth himself: but the simple pass on, and are punished.",,,
1-5v,Wisdom Prudenc,Ecc. 9.14,As nere as thou Canst guise at thy Neigh=          bour. and Consult with the wyse,Ecclesiasticus 9.14,"As near as thou canst, guess at thy neighbour, and consult with the wise.",,,
1-5v,Wisdom Prudenc,prov. 14. 15,The Symple beleueth euery word but                      the prudent man lookes well to his Goinge,Proverbs 14.15,The simple believeth every word: but the prudent man looketh well to his going.,,,
1-5v,Wisdom Prudenc,Ecc. 8. 19,Open not thy heart to every man least hee                                                                                       requit thee with a Shrewd Turne,Ecclesiasticus 8.19,"Open not thine heart to every man, lest he requite thee with a shrewd turn.",,,
1-5v,Wisdom Prudenc,Ecc. 8. 18,Doe no Secret thing before a Stranger                                                                                                  for thou knowest not what he will                                                                                                       bring forth,Ecclesiasticus 8.18,Do no secret thing before a stranger; for thou knowest not what he will bring forth.,,,Collet changing the order of the verses for her purposes is significant.
1-5v,Wisdom Prudenc,pro. 25. 17,"Withdraw thy foot from thy Neighbours              howse, least hee bee weary of thee                       and so hate thee",Proverbs 25.17,"Withdraw thy foot from thy neighbour's house; lest he be weary of thee, and so hate thee",,,
1-6r,Wisdom Prudenc Pol,Ecc. 8. 13,"Be not Surty aboue thy power, for                                                                                                            if thou bee Surty take Care to pay it",Ecclesiasticus 8.13,"Be not surety above thy power: for if thou be surety, take care to pay it",,,
1-6r,Wisdom Prudenc Pol,Ecc. 8. 12,"Lend not to him that is mighter then thy Selfe, or if thou lendest him Counte it but Loost",Ecclesiasticus 8.12,"Lend not unto him that is mightier than thyself; for if thou lendest him, count it but lost.",,,Changed the order of the verses again
1-6r,Wisdom Prudenc Pol,Ecc. 33. 26,"As long as thou liuest and haste                        breath in thee Giue not thy selfe                           ouer to any: for better it is thy                             Children should Seeke to thee, then                       thou shoulfest Stand to their Courtisy",Ecclesiasticus 33.20-1,"20 As long as thou livest and hast breath in thee, give not thyself over to any. 21 For better it is that thy children should seek to thee, than that thou shouldest stand to their courtesy.",,,Misattributed verses
1-6r,Wisdom Prudenc Pol,,"If thou bee Invited of a mighty man                  Withdraw thy Selfe: and so much                            the more hee fruite thee:                                                    press thou not vpon him, least thou                           be put back: Stand not a farr of                             Least thou bee forgotten",Ecclesiasticus 13.9-10,"9 If thou be invited of a mighty man, withdraw thyself, and so much the more will he invite thee. 10 Press thou not upon him, lest thou be put back; stand not far off, lest thou be forgotten.",,,Collet did not attribute these verses
1-7r,Wisdom in Speach & Sylenc,Ecc. 5. 13,Honor and Shame is In Talke                                                                                                               and ye tongue of a man is his fall,Ecclesiasticus 5.13,Honour and shame is in talk: and the tongue of man is his fall.,,,
1-7r,Wisdom in Speach & Sylenc,pro. 10. 19,"In the multitud of words there                                                                                                            wants not Syn, but hee that Reframeth                                                                                                  his lypes is wise",Proverbs 10.19,In the multitude of words there wanteth not sin: but he that refraineth his lips is wise.,,,
1-7r,Wisdom in Speach & Sylenc,Ecc. 28. 25,"Weigh thy words in a ballanc, & make                                                                                                     A dore and Barr for thy mouth,                                                                                                          beware thou Slid not by it, Least                                                                                                          thou fall before him yet lieth in waite",Ecclesiasticus 28.25-26,"25 And weigh thy words in a balance, and make a door and bar for thy mouth. 26 Beware thou slide not by it, lest thou fall before him that lieth in wait.",,,Did not attribute the second verse
1-7r,Wisdom in Speach & Sylenc,Ecc. 8. 13,"Answer not before thou hast heard                                                                                                        the Causes, Neither Interupt men                                                                                                            In the midest of their Talke",Ecclesiasticus 11.8,Answer not before thou hast heard the cause: neither interrupt men in the midst of their talk.,,,Misattribution of chapters and verses
1-7r,Wisdom in Speach & Sylenc,Spalme 34. 12,What man is hee that lusteth in liue                        and would faine see Good Dayes                                       Keepe thy tongue from Euill and thy                                         Lipes that they Speake noe Guile,Psalms 34.12-13,"12 What man is he that desireth life, and loveth many days, that he may see good? 13 Keep thy tongue from evil, and thy lips from speaking guile.",,,No attribution for the second verse
1-7v,Wisdom in Speach & Silenc,Mathew 12. 37,By thy words thou shalt be Justified                                                                                                     and by thy words yu shalt be Condemned,Matthew 12.37,"For by thy words thou shalt be justified, and by thy words thou shalt be condemned.",,,
1-7v,Wisdom in Speach & Silenc,pro. 13. 3,"Hee that keeps his mouth keepes                                                                                                           his life, but hee that opens his                                                                                                              Lipes shall haue Distruction",Proverbs 13.3,He that keepeth his mouth keepeth his life: but he that openeth wide his lips shall have destruction.,,,
1-7v,Wisdom in Speach & Silenc,Ecc. 20. 7,"A wise man will hold his Tongue till hee See opertunity, but a babler and foole will Regard noe tyme",Ecclesiasticus 20.7,A wise man will hold his tongue till he see opportunity: but a babbler and a fool will regard no time,,,
1-7v,Wisdom in Speach & Silenc,Ecc. 20. 18,"To Slip vpon the pauement is better, then to Slipe wth the tongue",Ecclesiasticus 20.18,To slip upon a pavement is better than to slip with the tongue: so the fall of the wicked shall come speedily.,,,Omitted last clause
1-7v,Wisdom in Speach & Silenc,pro. 17. 28,"Even a foole when hee holds his peace                                                                                                    is accounted wyse, & he that suteth                                                                                                       his lips is estemd a man of vnderstanding",Proverbs 17.28,"Even a fool, when he holdeth his peace, is counted wise: and he that shutteth his lips is esteemed a man of understanding.",,,
1-7v,Wisdom in Speach & Silenc,Ecc. 19. 6,"Hee that Can Rule his tongue shall liue                  wthout Strife, and hee that hateth                        Babling shall haue Less Evill",Ecclesiasticus 19.6,He that can rule his tongue shall live without strife; and he that hateth babbling shall have less evil.,,,
1-8r,Wisdom In Speach & Silenc,Ecc. 21. 28,"The lipes of talkers will bee telling                                                                                                        Such things as belongs not to them,                                                                                                                  but the words of such as haue vn=                                                                                                                              derstanding are weighed in ye ballace",Ecclesiasticus 21.25,The lips of talkers will be telling such things as pertain not unto them: but the words of such as have understanding are weighed in the balance.,,,Misattributed verse
1-8r,Wisdom In Speach & Silence,pro. 4. 24,put away from thee a froward mouth                                                                                                      and peruers lips put farr from thee,Proverbs 4.24,"Put away from thee a froward mouth, and perverse lips put far from thee.",,,
1-8r,Wisdom In Speach & Silenc,Ecc. 23. 15,The man that is accustomed to appro=                                                                                                   bious words with neue be reformed                                                                                                             all the dayes of his life,Ecclesiasticus 23.15,The man that is accustomed to opprobrious words will never be reformed all the days of his life.,,,
1-8r,Wisdom In Speach & Silenc,Ecc. 19. 10,If thou hast heard a word let it by                                                                                                              wth thee & be Sure it will not burst thee,Ecclesiasticus 19.10,"If thou hast heard a word, let it die with thee; and be bold, it will not burst thee.",,,"Miswrote ""die"" as ""by"""
1-8r,Wisdom In Speach & Silenc,Ecc. 19. 7,Rehearse not to others that is told vnto thee & thou shalt faire neuer ye worse,Ecclesiasticus 19.7,"Rehearse not unto another that which is told unto thee, and thou shalt fare never the worse.",,,
1-8r,Wisdom In Speach & Silenc,Ecc. 19. 8,Whether it be to friend or foe talke                                                                                                            not of other mens liues: and if thou                                                                                                             Canst without offence Reveale it not,Ecclesiasticus 19.8,"Rehearse not unto another that which is told unto thee, and thou shalt fare never the worse.",,,
1-8v,Wisdom In Speach & Sylenc,Ecc. 19. 11,"A foole trauileth with a word as A                                                                                                            woman in labour with a Child                                                                                                                        as an Arrow that sticks in a mans                                                                                                        thing, so is a word wthin a fooles belly",Ecclesiasticus 19.11-12,"11 A fool travaileth with a word, as a woman in labour of a child. 12 As an arrow that sticketh in a man's thigh, so is a word within a fool's belly.",,,No attribution for second verse
1-8v,Wisdom In Speach & Sylenc,Ecc. 28. 28,"Many haue fallen by the edg of the Sword, but not so many as haue fallen by the Tongue",Ecclesiasticus 28.18,Many have fallen by the edge of the sword: but not so many as have fallen by the tongue.,,,Missatribution of the verse
1-8v,Wisdom In Speach & Sylenc,James 3. 7. 8,"for Every Kind of Beasts & of birds                                                                                                           and of Serpents, and things in the                                                                                                                  Sea is tamed & hath bene tamed of                                                                                                                        Mankind — but the Tongue Can no man tame, it is an vnruly euill                                                             full of Deadly poyson",James 3.7-8,"7 For every kind of beasts, and of birds, and of serpents, and of things in the sea, is tamed, and hath been tamed of mankind: 8 But the tongue can no man tame; it is an unruly evil, full of deadly poison.",,,
1-8v,Wisdom In Speach & Sylenc,Ecc. 14. 1,"Blesed is the man that hath not Slipt wth his mouth, and is not pricked with multitud of Syns",Ecclesiasticus 14.1,"Blessed is the man that hath not slipped with his mouth, and is not pricked with the multitude of sins",,,
1-9r,Wisdom In Speach & Silenc,James 3. 2,"If any man Syn not in word hee is perfect man, and able to Biydle the whole Body",James 3.2,"For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.",,,Omitted the first clause
1-9r,Wisdom In Speach & Silence,Ecc. 4. 23,"Refrayne not to Speake when ther is                                                                                                  occasion to doe Good, and hid not                                                                                                             thy wisdom in her Beauty ",Ecclesiasticus 4.23,"And refrain not to speak, when there is occasion to do good, and hide not thy wisdom in her beauty.",,,"Omitted ""and"" which changes the meaning slightly because it's now not a part of a list"
1-9r,Wisdom In Speach & Silenc,Ecc. 27. 7,"Prayes no man before thou heare him Speake, for this is the tryall of Men",Ecclesiasticus 27.7,Praise no man before thou hearest him speak; for this is the trial of men.,,,
1-9r,Wisdom In Speach & Silenc,pro. 15. 23,"A man hath Joy by the answer of                                                                                                               his mouth, and a word Spoken in                                                                                                               due Season how Good is it",Proverbs 15.23,"A man hath joy by the answer of his mouth: and a word spoken in due season, how good is it!",,,
1-9r,Wisdom In Speach & Silenc,Ecc. 20. 13,"A wyse man by his words will                                                                                                              himselfe Beloued, but the                                                                                                                     Graces of a foole shall be powred                                                                                                                out",Ecclesiasticus 20.13,A wise man by his words maketh him beloved: but the graces of fools shall be poured out.,,,
1-9v,Wisdom In Speach & Silenc,pro. 16. 24,Pleasant words are as an Hony Combe                                                                                            Swetnes to ye Soule & Health to ye bones,Proverbs 16.24,"Pleasant words are as an honeycomb, sweet to the soul, and health to the bones.",,,
1-9v,Wisdom In Speach & Silenc,Ecc. 32. 7,"Speake young Man if there bee                            Need of thee, and yet Scarse when                          thou art twise Asked, let thy words                             be Short. Comprehending much in                             few words, be as one that Knoweth                           and yet holdeth his peace",Ecclesiasticus 32.7-8,"7 Speak, young man, if there be need of thee: and yet scarcely when thou art twice asked. 8 Let thy speech be short, comprehending much in few words; be as one that knoweth and yet holdeth his tongue.",,,"Attributed ""Let thy words be short"" to verse 7 because it is not a new sentence. No attribution for verse 8."
1-9v,Wisdom In Speach & Silenc,pro. 25. 11,A word fitly Spoken is like                                         Apples of Gold in picturs of Silver,Proverbs 25.11,A word fitly spoken is like apples of gold in pictures of silver.,,,
1-10v,Justice,pro. 21. 3,To doe Justice and Judgment is                                 more acceptable to the Lord then                          Sacrifice,Proverbs 21.3,To do justice and judgment is more acceptable to the Lord than sacrifice.,,,
1-10v,Justice,pro. 20. 7,The Just man walkes in his Integrety                         his Children are Blessed after him,Proverbs 20.7,The just man walketh in his integrity: his children are blessed after him.,,,
1-10v,Justice,Leuiticus. 19. 3,Thou shalt not doe vniustly In                           Judgment: In lyne: In waight                                         or In Measur,Leviticus 19.35,"Ye shall do no unrighteousness in judgment, in meteyard, in weight, or in measure.",,,"Missatribution of verse; changed ""meteyard"" to ""lyne"""
1-10v,Justice,pro. 11. 1,"false ballanc is Abomination to the                                                                                                          Lord, but a Just weight is his delight",Proverbs 11.1,A false balance is abomination to the Lord: but a just weight is his delight.,,,
1-10v,Justice,Pro. 23. 10,"Remoue not the land Marke, and                                                                                                            enter not into the feild of the                                                                                                               fatherles: for their Redemer is                                                                                                              mighty, hee will pleade their                                                                                                              Cause with thee",Proverbs 23.10-11,10 Remove not the old landmark; and enter not into the fields of the fatherless: 11 For their redeemer is mighty; he shall plead their cause with thee.,,,No attribution for verse 11
2-1r,Justice,Ecc. 4. 1,Defraud not the poore of his liueing                                                                                                          and make not the needy Eyes to                                                                                                                     waite Long,Ecclesiasticus 4.1,"My son, defraud not the poor of his living, and make not the needy eyes to wait long",,,"Omitted ""my son"" (the context for the placement of the verse in the Bible)"
2-1r,Justice,pro. 3. 7,"Withhold not the goods from the                                                                                                          owners thereof, though there bee                                                                                                         power in thy hand to doe it",Proverbs 3.27,"Withhold not good from them to whom it is due, when it is in the power of thine hand to do it",,,Verse misattributed
2-1r,Justice,Ecc. 21. 8,"Hee that buildeth his howse with                                                                                                                      other mens mony, Is like one                                                                                                                      that Gathereth himselfe stones for                                                                                                            the Tombe of his buriall",Ecclesiasticus 21.8,He that buildeth his house with other men's money is like one that gathereth himself stones for the tomb of his burial.,,,
2-1r,Justice,,Striue for the truth vnto Death                                                                                                                   and defend Justice for thy Life                                                                                                                  And the Lord shall fight for thee                                                                                                       against thyne Enimies,Ecclesiasticus 4.28,"Strive for the truth unto death, and the Lord shall fight for thee",,,"No attribution in the book; added ""and defend Justice for thy Life""  and ""against thyne Enimies"" (the actual verse does not mention justice)"
2-1v,Justice,Ecc. 25. 7,The Sacrifice of a Just man is                                                                                                        Acceptable and the memoriall there=                                                                                                            of shall neuer be forgoten,Ecclesiasticus 35.7,The sacrifice of a just man is acceptable. and the memorial thereof shall never be forgotten.,,,Misattribution of verse
2-1v,Justice,mathew. 7. 2,"With what Judgment you Judg,                                                                                                                      you shall bee Judged and with what                                                                                                 Measure you mete it shall be measured                                                                                                     to you againe",Matthew 7.2,"For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured to you agai",,,
2-1v,Justice,Gos Snt John. 7. 24,"Judg not according to apparanc,                                                                                                               but Judg Righteous Judgment",John 7.24,"Judge not according to the appearance, but judge righteous judgment.",,,
2-1v,Justice,pro. 21. 15,It is Joy to the Just to doe Judgment                                                                                                           but distruction shall bee to the                                                                                                              workers of Inequity,Proverbs 21.15,It is joy to the just to do judgment: but destruction shall be to the workers of iniquity,,,
2-1v,Justice,pro. 29. 14,The king that faithfully Judgeth                                                                                                                 the poore his Throne shall bee                                                                                                                                         Established for Ever,Proverbs 29.14,"The king that faithfully judgeth the poor, his throne shall be established for ever.",,,
2-2r,Justice,pro. 17 23,"A wicken man taketh a Guift out                                                                                                                  of the bosom, to peruert the way                                                                                                                   of Judgment",Proverbs 17.23,A wicked man taketh a gift out of the bosom to pervert the ways of judgment.,,,
2-2r,Justice,Ecc. 7. 6,"Seeke not to be a Judg, being not able                                                                                                          to take away Inequity, Least at                                                                                                                    any tym thou feare the person of                                                                                                                 the mighty, & lay a Stumbling block                                                                                                              In the way of thy vprightnes",Ecclesiasticus 7.6,"Seek not to be judge, being not able to take away iniquity; lest at any time thou fear the person of the mighty, an stumblingblock in the way of thy uprightness",,,"Changes the meaning slightly by adding ""lay"" before ""stumbling block"" because it gives another command to the readers"
2-2r,Justice,Dutrenomi. 16. 19,"Wrest not thou the law, nor respect                             of any person, neither take Reward                             for ye reward blyndeth the Eies of the                       wise. & peruerts ye words of the Just                        that wch is right & Just shall yu follow                           that thou mast liue and posses the                                 Land wch the lord thy God giueth thee",Deuteronomy 16.19-20,"19 Thou shalt not wrest judgment; thou shalt not respect persons, neither take a gift: for a gift doth blind the eyes of the wise, and pervert the words of the righteous. 20 That which is altogether just shalt thou follow, that thou mayest live, and inherit the land which the Lord thy God giveth thee.",,,
2-2r,Justice,Exodus. 23. 3,Thou shalt not Countenanc a poore                                                                                                          man in his cause,Exodus 23.3,Neither shalt thou countenance a poor man in his cause,,,
2-2r,Justice,pro. 2. 21,for ye Just shall dwell in ye land & the                     vpright man shall Remain in it,Proverbs 2.21,"For the upright shall dwell in the land, and the perfect shall remain in it.",,,"Added ""just"" instead of upright, with no mention of ""perfect"""
2-3r,Temperance,first Corin. 9. 25,Every man that Striueth for ye Mastery is Temperate in all things: Now they doe it to obtayne A Corruptable Crowne. but wee an Incorruptable,1 Corinthians 9.25,And every man that striveth for the mastery is temperate in all things. Now they do it to obtain a corruptible crown; but we an incorruptible.,,,
2-3r,Temperance,Luke. 21. 34,"Take hee to your selues, least your                                                                                                                hearts bee ouercom with Surfiting                                                                                                                  and Drokennes & Cares of this world",Luke 21.34,"And take heed to yourselves, lest at any time your hearts be overcharged with surfeiting, and drunkenness, and cares of this life, and so that day come upon you unawares",,,"Omitted last two clauses, which slightly changes the meaning"
2-3r,Temperance,pro. 25. 16,"If thou haue found Hony Eate that                                                                                                                                           wch is Suffitient, least thou bee ouer                                                                                                          full and vomite",Proverbs 25. 16,"Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled therewith, and vomit it",,,Changed from a question to command
2-3r,Temperance,,Goe not after thy Lusts but Refraine                                                                                                                   thy Selfe from thy Appetite,Ecclesiasticus 18.30,"Go not after thy lusts, but refrain thyself from thine appetites",,,No attribution for the verse
2-3r,Temperance,pro. 23. 3,Be not desirous of Dainty Meates                                                                                                                 for it is a deceiueable thing,Proverbs 23.3,Be not desirous of his dainties: for they are deceitful meat.,,,
2-3v,Temperanc ,Ecc. 37. 31,Exces of meats bring Sicknes and                                                                                                        Glottony amounteth to Chollerac                                                                                                      diseases,Ecclesiasticus 37.30,"For excess of meats bringeth sickness, and surfeiting will turn into choler.",,,Verse misattributed
2-3v,Temperanc,Ecc. 37. 29,"Bee not as vnsatiable in any dayntie                                                                                                      thing, Nor to Greedy vpon Meates",Ecclesiasticus 37.29,"Be not unsatiable in any dainty thing, nor too greedy upon meats:",,,Switched around the order of verses 29 and 30
2-3v,Temperanc,pro. 23. 1,When thou Sitest to Eate with a Ruler                                                                                               Consider dilligently what is before                                                                                                             thee: And put thy Knife to thy                                                                                                                  throat if thou bee a man Giuen                                                                                                                   to thy Appetite,Proverbs 23.1-2,"1 When thou sittest to eat with a ruler, consider diligently what is before thee: 2 And put a knife to thy throat, if thou be a man given to appetite.",,,No attribution for verse 2
2-3v,Temperanc,Ecc. 31. 16,"Eate as becometh a man, thos things                                                                                                              which are Set before thee, and                                                                                                              Deuour not least thou be hatted                                                                                                            Leave of first for maners Sake                                                                                                               And bee not vnsatiable Least                                                                                                                thou offend",Ecclesiasticus 31.16-17,"16 Eat as it becometh a man, those things which are set before thee; and devour note, lest thou be hated. 17 Leave off first for manners' sake; and be not unsatiable, lest thou offend.",,,No attribution for verse 17
2-4r,Temperance,Ecc. 31. 19,A very little is Suffitient for a man                                                                                                              well Nurtured and hee fetcheth                                                                                                                   not his wynd Short vpon his bed,Ecclesiasticus 31.19,"A very little is sufficient for a man well nurtured, and he fetcheth not his wind short upon his bed.",,,
2-4r,Temperance,Ecc. 37. 31,By Surfeting haue many perished                                                                                                             but he yt takes heed prolongs his Life,Ecclesiasticus 37. 31,By surfeiting have many perished; but he that taketh heed prolongeth his life.,,,
2-4r,Temperance,Ecc. 31. 20,"Sound Sleepe Cometh of Moderate                                                                                                                   Eating: hee riseth early and his witts                                                                                                             are with him, but the paynes of                                                                                                              watching and Choller and paynes of                                                                                                          the belly are wth an vnsatiable man",Ecclesiasticus 31.20,"Sound sleep cometh of moderate eating: he riseth early, and his wits are with him: but the pain of watching, and choler, and pangs of the belly, are with an unsatiable man.",,,
2-4r,Temperance,Ecc. 18. 32,Take not pleasur in much Good                                                                                                           Cheere: Neither be tyd to ye Expenc t                                                                                                     herof,Ecclesiasticus 18.32,"Take not pleasure in much good cheer, neither be tied to the expence thereof.",,,
2-4r,Temperance,Ecc. 18. 33,"Be not made a begger by banqueting                        vpon borrowing when yu hast nothing                              In thy purs, for thou shalt ly in waite                                                                                                 for thyn owne Soule & bee talked of",Ecclesiasticus 18.33,"Be not made a beggar by banqueting upon borrowing, when thou hast nothing in thy purse: for thou shalt lie in wait for thine own life, and be talked on.",,,
2-4v,Temperanc,pro. 23. 20,Be not amongst wine bibbers amongst                                                                                                    Riotous eaters of flesh for dronkards                                                                                                             and Glottons shall Com to pouerty                                                                                                           and Drowsines shall bee Clothed                                                                                                            with Rages,Proverbs 23.20-21,20 Be not among winebibbers; among riotous eaters of flesh: 21 For the drunkard and the glutton shall come to poverty: and drowsiness shall clothe a man with rags.,,,No attribution for verse 21
2-4v,Temperanc,pro. 23. 31,"Looke not vpon the wyne when it                                      is Red, when it Giueth his Colour                                  in the Cupp. when it moueth it selfe                           aright, at the end it is bitter like a                          Serpent & stingeth like an Adder",Proverbs 23.31-32,"31 Look not thou upon the wine when it is red, when it giveth his colour in the cup, when it moveth itself aright. 32 At the last it biteth like a serpent, and stingeth like an adder.",,,No attribution for verse 32
2-4v,Temperanc,pro. 20. 1,Wyne is a mocker Strong drinke is Raging                                                                                               who so is deceiued therby is not wyse,Proverbs 20.1,"Wine is a mocker, strong drink is raging: and whosoever is deceived thereby is not wise.",,,
2-4v,Temperanc,pro. 31. 4,It is not for kings to Drynke Wyne                                                                                                              Nor Princes Strong Drynke,Proverbs 31.4,"It is not for kings, O Lemuel, it is not for kings to drink wine; nor for princes strong drink",,,Omitted references to King Lemuel
2-4v,Temperanc,first Esdras. 3. 18,"Oh yee men how Exceding strong is 
wyne, It Causeth all men to Err 
that Drinke it
",1 Esdras 3.18,"And he said thus, O ye men, how exceeding strong is wine! it causeth all men to err that drink it:",,,
